,planet_ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_radius_m,planet_surface_gravity
0,0,982.768,2.682613466805508e+30,1043550000.0,6531.0,2.122997591962e+27,13.70535,0.1238450157165238,98468088.25989398,13.97554834641179
1,1,843.524,2.5513784153394365e+30,1001808000.0,6373.0,1.803828141128e+27,3.9491382,0.0531323378722395,95568482.554702,12.605966401012754
2,2,1139.32,3.272922647168992e+30,3798522000.0,7315.0,5.394261322268e+27,1.19888,0.0260772307035249,128187019.109379,20.953387889571285
3,3,463.156,3.5942496822737973e+30,2101014000.0,7719.0,5.13503746262e+26,9.1505,0.1042953733632252,69541262.95269799,6.777489239819614
4,4,38.5653,1.5331965716290472e+30,558391778.1,5058.0,4.6005677042e+25,4.1374379,0.0462508108078305,16688892.103305,10.5430624863242
5,5,303.728,2.485512338372564e+30,980937000.0,6211.0,3.2266e+25,5.859944,0.0685285510484207,16079529.999999998,7.965422137892921
6,6,737.108,6.107122540467165e+30,1822734000.0,9976.0,4.770664604159999e+26,6.56034,0.0996924315180109,66506313.256789,6.88435894047993
7,7,316.663,1.908873475870129e+30,786140999.9999999,5884.0,1.9929e+25,87.517905,0.3805931090635503,10207006.0,12.209535302100116
8,8,748.188,2.1872508577678563e+30,820926000.0,6117.0,3.5492600000000003e+25,14.58649607,0.120615776124145,14401666.0,10.92251659449498
9,9,795.894,5.863025344740272e+30,1982745000.0,9635.0,2.78913760996e+26,13.2689495,0.1572886421504393,48335970.919497,7.61972708469979
10,10,538.807,2.525280535786525e+30,1120077000.0,5855.0,1.898e+25,7.64971018,0.0822881178882982,9997273.0,12.12114014188916
11,11,442.871,1.908873475870129e+30,605259000.0,5498.0,7.042249956040001e+26,38.47875707,0.2200612973029435,83194090.0,6.49436737533776
12,12,891.462,2.366207746130681e+30,890496000.0,6108.0,1.804998e+25,25.745718,0.180838776570902,9647717.999999998,12.377641263294391
13,13,1248.07,1.7941819945282654e+30,1690551000.0,5632.0,6.01742817754e+26,0.6711626,0.0144968309699343,76360232.35306899,6.586986915988952
14,14,1176.12,2.067946265525973e+30,1106163000.0,5740.0,4.57418e+27,3.7681,0.0480173985457668,71309220.0,57.415909205612685
15,15,165.105,1.5095477489079385e+30,584388000.0,4968.8,8.3960690996e+25,1.24357,0.0206456322843905,23593584.134724,9.627167580530443
16,16,578.796,1.252698218539772e+30,431334000.0,4503.0,1.884714e+25,10.198545,0.0789062786707164,9927362.0,12.206414322463846
17,17,360.313,1.789568883628246e+30,605259000.0,5171.0,3.39742e+27,1.48224686,0.0245659613121752,83473734.0,31.121457274021544
